L1Bit,L1SeedName,pre-scale0,rate0,error_rate0,pure0,propotional0
0,L1_SingleMuCosmics,0,0,0,0,0
1,L1_SingleMuOpen,30000,35.6069,35.6069,35.6069,35.6069
2,L1_SingleMu3,16000,0,0,0,0
3,L1_SingleMu5,50,2634.91,306.302,2492.48,2528.09
4,L1_SingleMu7,20,2634.91,306.302,1993.98,2137.58
5,L1_SingleMu10_LowQ,600,35.6069,35.6069,35.6069,35.6069
6,L1_SingleMu11_LowQ,500,35.6069,35.6069,0,2.37379
7,L1_SingleMu16,1,4984.96,421.306,35.6069,904.739
8,L1_SingleMu18,1,3738.72,364.862,0,445.862
9,L1_SingleMu20,1,3062.19,330.204,0,305.503
10,L1_SingleMu22,1,2599.3,304.225,0,252.739
11,L1_SingleMu25,1,1993.98,266.457,0,189.19
12,L1_SingleMu30,1,1210.63,207.622,0,116.107
13,L1_SingleMu14er2p1,3,2065.2,271.174,676.53,893.824
14,L1_SingleMu16er2p1,1,4272.82,390.054,0,691.352
15,L1_SingleMu18er2p1,1,3097.8,332.119,0,285.886
16,L1_SingleMu20er2p1,1,2599.3,304.225,0,222.675
17,L1_SingleMu22er2p1,1,2172.02,278.099,0,178.812
20,L1_DoubleMu0,600,106.821,61.6729,35.6069,55.7841
21,L1_DoubleMu_11_4,30,35.6069,35.6069,0,2.22543
22,L1_DoubleMu_12_5,1,462.889,128.382,0,70.0719
23,L1_DoubleMu_12_8,1,106.821,61.6729,0,16.8334
24,L1_DoubleMu_13_6,1,356.069,112.599,0,63.2636
25,L1_DoubleMu_15_5,1,320.462,106.821,0,30.3109
26,L1_DoubleMu_15_7,1,106.821,61.6729,0,10.0511
27,L1_TripleMu0,0,0,0,0,0
28,L1_TripleMu3,0,0,0,0,0
29,L1_TripleMu_4_4_4,1,142.427,71.2137,0,15.3787
30,L1_TripleMu_5_0_0,1,1246.24,210.653,213.641,482.366
31,L1_TripleMu_5_3_3,1,391.676,118.095,0,60.2829
32,L1_TripleMu_5_5_3,1,142.427,71.2137,0,19.949
33,L1_QuadMu0,1,35.6069,35.6069,35.6069,35.6069
40,L1_SingleEG5,4000,1068.21,195.027,1068.21,1068.21
41,L1_SingleEG10,400,1744.74,249.248,1744.74,1744.74
42,L1_SingleEG15,100,1673.52,244.108,1531.1,1549.77
43,L1_SingleEG18,40,1424.27,225.198,818.958,913.226
44,L1_SingleEG24,20,996.992,188.414,356.069,478.479
45,L1_SingleEG26,10,1531.1,233.49,249.248,414.717
46,L1_SingleEG28,8,1459.88,227.995,142.427,364.039
47,L1_SingleEG30,4,2350.05,289.272,427.282,640.867
48,L1_SingleEG32,2,3845.54,370.037,106.821,456.676
49,L1_SingleEG34,1,6516.06,481.681,71.2137,631.703
50,L1_SingleEG36,1,5519.06,443.302,0,377.043
51,L1_SingleEG38,1,4664.5,407.539,0,245.314
52,L1_SingleEG40,1,4094.79,381.841,0,181.212
53,L1_SingleEG45,1,2919.76,322.434,0,79.8429
54,L1_SingleEG34er2p1,1,5234.21,431.71,0,298.963
55,L1_SingleEG36er2p1,1,4522.07,401.269,0,192.934
56,L1_SingleEG38er2p1,1,3881.15,371.747,0,125.392
57,L1_SingleIsoEG18,3,4486.46,399.686,818.958,1311.7
58,L1_SingleIsoEG20,2,5127.39,427.282,71.2137,726.738
59,L1_SingleIsoEG22,1,8723.68,557.336,35.6069,796.065
60,L1_SingleIsoEG24,1,7548.66,518.444,0,478.252
61,L1_SingleIsoEG26,1,6622.88,485.613,0,326.459
62,L1_SingleIsoEG28,1,5625.88,447.571,0,220.544
63,L1_SingleIsoEG30,1,5127.39,427.282,0,173.756
64,L1_SingleIsoEG32,1,4842.53,415.244,0,153.764
65,L1_SingleIsoEG34,1,4450.86,398.097,0,134.537
66,L1_SingleIsoEG36,1,4059.18,380.177,0,115.673
67,L1_SingleIsoEG38,1,3809.93,368.32,0,105.449
68,L1_SingleIsoEG18er2p1,3,4130.4,383.498,925.778,1389.57
69,L1_SingleIsoEG20er2p1,1,9435.82,579.638,356.069,1372.76
70,L1_SingleIsoEG22er2p1,1,8047.15,535.289,0,624.419
71,L1_SingleIsoEG24er2p1,1,7014.55,499.766,0,395.623
72,L1_SingleIsoEG26er2p1,1,6159.99,468.335,0,273.502
73,L1_SingleIsoEG28er2p1,1,5234.21,431.71,0,186.578
74,L1_SingleIsoEG30er2p1,1,4806.93,413.714,0,154.626
75,L1_SingleIsoEG32er2p1,1,4522.07,401.269,0,134.633
76,L1_SingleIsoEG34er2p1,1,4130.4,383.498,0,115.407
77,L1_SingleIsoEG36er2p1,1,3774.33,366.595,0,99.78
80,L1_DoubleEG_15_10,0,0,0,0,0
81,L1_DoubleEG_18_17,0,0,0,0,0
82,L1_DoubleEG_20_18,0,0,0,0,0
83,L1_DoubleEG_22_10,0,0,0,0,0
84,L1_DoubleEG_22_12,0,0,0,0,0
85,L1_DoubleEG_22_15,0,0,0,0,0
86,L1_DoubleEG_23_10,1,2812.94,316.481,462.889,806.519
87,L1_DoubleEG_24_17,1,534.103,137.905,0,39.5271
88,L1_DoubleEG_25_12,1,1602.31,238.858,0,199.918
89,L1_DoubleEG_25_13,1,1424.27,225.198,0,160.22
90,L1_DoubleEG_25_14,1,1068.21,195.027,0,96.8532
91,L1_TripleEG_14_10_8,0,0,0,0,0
92,L1_TripleEG_18_17_8,1,178.034,79.6194,71.2137,73.5928
100,L1_SingleTau20,0,0,0,0,0
101,L1_SingleTau80er2p1,1,3204.62,337.796,0,195.762
102,L1_SingleTau100er2p1,1,1459.88,227.995,0,45.2216
103,L1_SingleTau120er2p1,1,783.351,167.011,0,17.395
104,L1_DoubleTau50er2p1,1,2528.09,300.029,142.427,299.196
105,L1_DoubleTau70er2p1,1,854.565,174.437,0,27.552
106,L1_DoubleIsoTau28er2p1,1,5020.57,422.808,569.71,1265.96
107,L1_DoubleIsoTau30er2p1,1,4201.61,386.79,0,645.701
108,L1_DoubleIsoTau32er2p1,1,3275.83,341.529,0,284.444
109,L1_DoubleIsoTau33er2p1,1,3026.58,328.279,0,211.747
110,L1_DoubleIsoTau34er2p1,1,2884.16,320.462,0,190.764
111,L1_DoubleIsoTau35er2p1,1,2634.91,306.302,0,160.536
112,L1_DoubleIsoTau36er2p1,1,2563.69,302.134,0,155.344
113,L1_DoubleIsoTau38er2p1,1,2278.84,284.855,0,119.61
120,L1_SingleJet16,0,0,0,0,0
121,L1_SingleJet20,0,0,0,0,0
122,L1_SingleJet35,60000,0,0,0,0
123,L1_SingleJet60,4000,35.6069,35.6069,35.6069,35.6069
124,L1_SingleJet90,20,1210.63,207.622,462.889,625.972
125,L1_SingleJet120,1,6551.66,482.995,427.282,1085.96
126,L1_SingleJet140,1,3026.58,328.279,0,188.557
127,L1_SingleJet150,1,2172.02,278.099,0,97.4099
128,L1_SingleJet160,1,1531.1,233.49,0,59.6907
129,L1_SingleJet170,1,1139.42,201.423,0,35.8829
130,L1_SingleJet180,1,996.992,188.414,0,26.7455
131,L1_SingleJet200,1,747.744,163.171,0,16.0606
140,L1_DoubleJet40er3p0,0,0,0,0,0
141,L1_DoubleJet50er3p0,100,534.103,137.905,284.855,342.188
142,L1_DoubleJet60er3p0,50,498.496,133.229,320.462,368.383
143,L1_DoubleJet80er3p0,10,747.744,163.171,106.821,168.715
144,L1_DoubleJet100er3p0,1,3169.01,335.914,35.6069,349.698
145,L1_DoubleJet112er3p0,1,1922.77,261.656,0,123.889
146,L1_DoubleJet120er3p0,1,1424.27,225.198,0,72.1043
147,L1_TripleJet_84_68_48_VBF,1,3631.9,359.612,213.641,605.324
148,L1_TripleJet_88_72_56_VBF,1,2172.02,278.099,0,179.857
149,L1_TripleJet_92_76_64_VBF,1,1317.45,216.588,0,85.5704
150,L1_QuadJet40er3p0,0,0,0,0,0
151,L1_QuadJet50er3p0,1,640.924,151.067,35.6069,80.3335
152,L1_QuadJet60er3p0,1,142.427,71.2137,0,6.73055
160,L1_HTT120er,130,605.317,146.811,462.889,498.406
161,L1_HTT160er,10,2955.37,324.394,1744.74,2006.43
162,L1_HTT200er,4,3169.01,335.914,534.103,921.991
163,L1_HTT220er,2,4379.64,394.899,356.069,863.712
164,L1_HTT240er,1,6231.2,471.035,35.6069,687.872
165,L1_HTT255er,1,5020.57,422.808,0,398.349
166,L1_HTT270er,1,3952.36,375.142,0,208.302
167,L1_HTT280er,1,3560.69,356.069,0,176.672
168,L1_HTT300er,1,2492.48,297.908,0,100.053
169,L1_HTT320er,1,1958.38,264.068,0,73.2557
170,L1_HTT340er,1,1531.1,233.49,0,51.1961
171,L1_HTT380er,1,890.172,178.034,0,25.358
172,L1_HTT400er,1,676.53,155.207,0,15.2142
173,L1_HTT450er,1,427.282,123.346,0,6.10696
174,L1_HTT500er,1,320.462,106.821,0,3.94825
180,L1_ETM30,60000,35.6069,35.6069,35.6069,35.6069
181,L1_ETM40,0,0,0,0,0
182,L1_ETM50,0,0,0,0,0
183,L1_ETM60,1000,71.2137,50.3557,35.6069,36.4753
184,L1_ETM70,0,0,0,0,0
185,L1_ETM75,0,0,0,0,0
186,L1_ETM80,0,0,0,0,0
187,L1_ETM85,0,0,0,0,0
188,L1_ETM90,0,0,0,0,0
189,L1_ETM95,0,0,0,0,0
190,L1_ETM100,1,1317.45,216.588,71.2137,155.757
191,L1_ETM105,1,996.992,188.414,0,52.9331
192,L1_ETM110,1,783.351,167.011,0,30.6225
193,L1_ETM115,1,569.71,142.427,0,17.7548
194,L1_ETM120,1,391.676,118.095,0,10.4512
195,L1_ETM150,1,213.641,87.2186,0,2.56656
200,L1_ETMHF70,1000,71.2137,50.3557,71.2137,71.2137
201,L1_ETMHF80,0,0,0,0,0
202,L1_ETMHF90,0,0,0,0,0
203,L1_ETMHF100,0,0,0,0,0
204,L1_ETMHF110,1,1922.77,261.656,178.034,485.733
205,L1_ETMHF120,1,1175.03,204.546,0,155.317
206,L1_ETMHF150,1,284.855,100.711,0,9.26187
240,L1_SingleMuOpen_NotBptxOR,35,0,0,0,0
241,L1_SingleMuOpen_NotBptxOR_3BX,1,0,0,0,0
242,L1_SingleJet20er3p0_NotBptxOR,1000,0,0,0,0
243,L1_SingleJet20er3p0_NotBptxOR_3BX,0,0,0,0,0
244,L1_SingleJet43er3p0_NotBptxOR_3BX,1,0,0,0,0
245,L1_SingleJet46er3p0_NotBptxOR_3BX,1,0,0,0,0
250,L1_IsoEG24er2p1_Jet26er3p0_dR_Min0p3,1,4450.86,398.097,0,212.749
251,L1_IsoEG26er2p1_Jet34er3p0_dR_Min0p3,1,2955.37,324.394,0,99.2796
252,L1_IsoEG28er2p1_Jet34er3p0_dR_Min0p3,1,2599.3,304.225,0,73.7889
253,L1_IsoEG30er2p1_Jet34er3p0_dR_Min0p3,1,2456.87,295.773,0,65.7331
254,L1_IsoEG24er2p1_HTT100er,1,3275.83,341.529,0,92.7712
255,L1_IsoEG26er2p1_HTT100er,1,3169.01,335.914,0,82.1196
256,L1_IsoEG28er2p1_HTT100er,1,3026.58,328.279,0,73.8786
257,L1_IsoEG24er2p1_TripleJet_26er3p0_26_26er3p0,1,2207.63,280.369,0,86.8518
258,L1_Mu18_HTT100er,1,498.496,133.229,0,27.0127
259,L1_Mu18_Jet24er3p0,1,2492.48,297.908,0,253.259
260,L1_Mu20_EG17,1,106.821,61.6729,0,4.61399
261,L1_Mu23_EG10,1,284.855,100.711,0,23.761
262,L1_Mu23_IsoEG10,1,0,0,0,0
263,L1_Mu5_EG23,1,640.924,151.067,35.6069,150.267
264,L1_Mu5_IsoEG20,1,249.248,94.2069,0,26.43
265,L1_Mu7_EG23,1,427.282,123.346,0,107.542
266,L1_Mu7_IsoEG20,1,106.821,61.6729,0,21.4065
267,L1_Mu7_IsoEG23,1,35.6069,35.6069,0,4.45086
268,L1_HTT250er_QuadJet_70_55_40_35_er2p5,1,1851.56,256.765,0,162.826
269,L1_HTT280er_QuadJet_70_55_40_35_er2p5,1,1353.06,219.495,0,70.0631
270,L1_HTT300er_QuadJet_70_55_40_35_er2p5,1,1103.81,198.251,0,49.6048
275,L1_DoubleJet100er2p3_dEta_Max1p6,1,1673.52,244.108,0,145.212
276,L1_Mu10er2p3_Jet32er2p3_dR_Max0p4_DoubleJet32er2p3_dEta_Max1p6,1,391.676,118.095,0,56.6839
277,L1_Mu12er2p3_Jet40er2p3_dR_Max0p4_DoubleJet40er2p3_dEta_Max1p6,1,249.248,94.2069,0,27.1599
278,L1_IsoTau40er_ETM80,1,1780.34,251.779,0,149.731
279,L1_IsoTau40er_ETM85,1,1566.7,236.189,0,90.6828
280,L1_IsoTau40er_ETM90,1,1210.63,207.622,0,58.6388
281,L1_IsoTau40er_ETM95,1,1032.6,191.749,0,38.0565
282,L1_IsoTau40er_ETM100,1,854.565,174.437,0,24.2555
283,L1_IsoTau40er_ETMHF80,1,1388.67,222.365,106.821,195.418
284,L1_IsoTau40er_ETMHF90,1,890.172,178.034,0,53.0179
285,L1_Mu22er2p1_IsoTau40er2p1,1,71.2137,50.3557,0,2.24516
286,L1_QuadJet36er3p0_IsoTau52er2p1,1,1139.42,201.423,0,75.6134
287,L1_ETM80_Jet60_dPhi_Min0p4,1,3952.36,375.142,854.565,1334.49
288,L1_ETM90_Jet60_dPhi_Min0p4,1,1922.77,261.656,0,247.503
289,L1_ETM100_Jet60_dPhi_Min0p4,1,1139.42,201.423,0,59.5464
290,L1_ETM110_Jet60_dPhi_Min0p4,1,712.137,159.239,0,23.4292
291,L1_DoubleJet60er3p0_ETM70,1,1887.16,259.222,0,308.218
292,L1_DoubleJet60er3p0_ETM80,1,890.172,178.034,0,78.7017
293,L1_DoubleJet60er3p0_ETM90,1,427.282,123.346,0,24.2721
294,L1_DoubleJet60er3p0_ETM100,1,213.641,87.2186,0,5.93861
295,L1_DoubleEG_Iso23_10,1,961.385,185.019,0,50.2732
296,L1_DoubleEG_Iso24_10,1,854.565,174.437,0,34.1654
297,L1_TripleEG_Iso20_10_5,1,498.496,133.229,0,35.9813
298,L1_DoubleJet_90_30_DoubleJet30_Mass_Min620,1,3738.72,364.862,462.889,1024.89
299,L1_DoubleJet_100_30_DoubleJet30_Mass_Min620,1,2919.76,322.434,0,457.037
300,L1_DoubleJet_100_35_DoubleJet35_Mass_Min620,1,2456.87,295.773,0,384.139
301,L1_DoubleJet30_Mass_Min400_Mu6,0,0,0,0,0
302,L1_DoubleJet30_Mass_Min400_Mu10,1,356.069,112.599,142.427,164.812
303,L1_IsoEG18er2p1_IsoTau24er2p1_dEta_Min0p2,1,996.992,188.414,106.821,182.296
304,L1_IsoEG20er2p1_IsoTau25er2p1_dEta_Min0p2,1,712.137,159.239,0,35.1604
